	Opt.	CR	FP
X^1	199	153	157
X^2	199	167	168
X^3	199	176	177
X^4	199	190	191
X^5	199	199	199

X^0	198	178	178
X^1	199	178	178
X^2	199	183	187
X^3	199	189	192
X^4	200	197	200
X^5	200	200	200

X^0	193	49	50
X^1	197	58	59
X^2	197	56	57
X^3	197	97	99
X^4	199	148	148
X^5	200	200	200

X^0	194	140	148
X^1	194	145	151
X^2	194	146	152
X^3	194	194	194
X^4	194	194	194
X^5	200	200	200

X^0	198	145	149
X^1	198	187	190
X^2	198	198	198
X^3	198	198	198
X^4	199	199	199
X^5	200	200	200

X^0	199	125	128
X^1	199	143	147
X^2	199	162	165
X^3	199	180	185
X^4	199	198	199
X^5	199	199	199

X^0	199	166	167
X^1	199	183	185
X^2	197	183	184
X^3	200	200	200
X^4	199	199	199
X^5	198	198	198

X^0	199	74	75
X^1	199	74	75
X^2	199	109	112
X^3	200	137	139
X^4	199	165	167
X^5	200	200	200

X^0	196	179	184
X^1	196	185	189
X^2	196	196	196
X^3	196	196	196
X^4	196	196	196
X^5	200	200	200

X^0	198	176	176
X^1	198	183	183
X^2	198	187	188
X^3	198	193	197
X^4	198	193	194
X^5	200	200	200

X^0	199	173	178
X^1	196	179	183
X^2	199	184	188
X^3	196	196	196
X^4	196	196	196
X^5	200	200	200

X^0	197	95	97
X^1	197	149	154
X^2	197	145	148
X^3	200	200	200
X^4	198	198	198
X^5	200	200	200

X^0	198	191	192
X^1	200	200	200
X^2	198	196	196
X^3	200	200	200
X^4	200	200	200
X^5	195	195	195

X^0	197	182	185
X^1	197	182	185
X^2	196	182	185
X^3	197	184	187
X^4	197	185	189
X^5	197	197	197

X^0	198	194	197
X^1	199	195	197
X^2	196	195	196
X^3	198	198	198
X^4	199	199	199
X^5	199	199	199

X^0	198	120	121
X^1	194	117	118
X^2	197	121	122
X^3	198	198	198
X^4	199	199	199
X^5	200	200	200

X^0	197	165	168
X^1	197	169	175
X^2	197	173	175
X^3	198	198	198
X^4	198	198	198
X^5	200	200	200

X^0	195	191	195
X^1	199	196	198
X^2	199	198	199
X^3	198	197	198
X^4	200	199	200
X^5	200	200	200

X^0	198	173	175
X^1	200	188	192
X^2	200	191	191
X^3	200	200	200
X^4	200	189	189
X^5	200	200	200

X^0	196	165	171
X^1	196	169	169
X^2	198	177	177
X^3	198	179	179
X^4	198	186	187
X^5	200	200	200

X^0	197	83	84
X^1	199	103	104
X^2	199	183	184
X^3	199	199	199
X^4	199	199	199
X^5	199	199	199

X^0	197	194	196
X^1	197	193	195
X^2	199	192	193
X^3	198	198	198
X^4	199	199	199
X^5	200	200	200

X^0	197	189	191
X^1	199	195	196
X^2	199	199	199
X^3	199	199	199
X^4	199	199	199
X^5	199	199	199

X^0	200	167	168
X^1	199	169	170
X^2	200	172	173
X^3	200	200	200
X^4	200	200	200
X^5	196	196	196

X^0	199	-7	0
X^1	194	3	7
X^2	196	5	9
X^3	196	196	196
X^4	196	196	196
X^5	199	199	199

X^0	197	66	75
X^1	199	111	114
X^2	196	119	121
X^3	198	121	123
X^4	195	153	155
X^5	199	199	199

X^0	198	151	152
X^1	199	152	154
X^2	195	150	152
X^3	197	196	197
X^4	198	198	198
X^5	197	197	197

X^0	198	194	197
X^1	198	193	197
X^2	198	193	198
X^3	198	198	198
X^4	198	197	198
X^5	199	199	199

X^0	199	26	28
X^1	199	26	28
X^2	199	31	31
X^3	199	199	199
X^4	200	200	200
X^5	199	199	199

X^0	194	194	194
X^1	197	197	197
X^2	200	200	200
X^3	198	198	198
X^4	200	200	200
X^5	199	199	199

X^0	195	192	194
X^1	198	196	197
X^2	198	196	197
X^3	195	195	195
X^4	199	199	199
X^5	200	200	200

X^0	199	1	5
X^1	197	14	17
X^2	197	15	19
X^3	197	197	197
X^4	197	197	197
X^5	199	199	199

X^0	198	35	36
X^1	198	72	73
X^2	198	108	109
X^3	198	143	144
X^4	198	161	161
X^5	200	200	200

X^0	198	156	158
X^1	199	162	164
X^2	199	156	158
X^3	197	196	197
X^4	199	199	199
X^5	200	200	200

X^0	196	193	196
X^1	197	195	197
X^2	197	197	197
X^3	196	196	196
X^4	195	195	195
X^5	196	196	196

X^0	198	192	197
X^1	198	197	198
X^2	194	194	194
X^3	199	199	199
X^4	199	199	199
X^5	195	195	195

X^0	198	193	197
X^1	198	198	198
X^2	199	199	199
X^3	197	197	197
X^4	199	199	199
X^5	199	199	199

X^0	199	112	117
X^1	199	137	138
X^2	199	161	162
X^3	199	176	177
X^4	199	176	177
X^5	199	199	199

X^0	195	170	179
X^1	199	180	187
X^2	195	183	193
X^3	199	193	199
X^4	199	199	199
X^5	200	200	200

X^0	197	182	188
X^1	197	196	197
X^2	197	197	197
X^3	197	197	197
X^4	198	198	198
X^5	199	199	199

X^0	197	181	182
X^1	200	188	193
X^2	195	189	195
X^3	199	199	199
X^4	195	195	195
X^5	196	196	196

X^0	198	122	127
X^1	194	159	164
X^2	196	161	166
X^3	194	194	194
X^4	195	195	195
X^5	200	200	200

X^0	198	163	165
X^1	198	171	178
X^2	194	176	178
X^3	196	184	186
X^4	198	192	195
X^5	198	198	198

X^0	200	153	153
X^1	200	152	152
X^2	199	164	164
X^3	200	179	179
X^4	195	181	181
X^5	200	200	200

X^0	199	195	198
X^1	196	195	196
X^2	199	198	199
X^3	199	198	199
X^4	199	198	199
X^5	199	199	199

X^0	196	141	147
X^1	196	171	178
X^2	196	174	178
X^3	196	196	196
X^4	196	196	196
X^5	199	199	199

X^0	199	183	185
X^1	197	183	185
X^2	198	197	198
X^3	199	199	199
X^4	199	199	199
X^5	199	199	199

X^0	199	196	199
X^1	198	197	198
X^2	196	196	196
X^3	199	199	199
X^4	198	198	198
X^5	200	200	200

X^0	196	195	196
X^1	197	197	197
X^2	197	197	197
X^3	195	195	195
X^4	200	200	200
X^5	196	196	196

X^0	199	189	191
X^1	199	193	194
X^2	199	197	198
X^3	199	199	199
X^4	200	200	200
X^5	199	199	199

X^0	199	185	188
X^1	194	181	182
X^2	197	191	193
X^3	199	193	196
X^4	198	190	192
X^5	199	199	199

X^0	196	151	153
X^1	198	176	178
X^2	198	176	180
X^3	198	194	197
X^4	198	198	198
X^5	200	200	200

X^0	195	153	160
X^1	195	170	175
X^2	195	181	184
X^3	195	195	195
X^4	197	197	197
X^5	193	193	193

X^0	198	71	75
X^1	198	144	146
X^2	198	132	134
X^3	198	198	198
X^4	198	198	198
X^5	200	200	200

X^0	198	186	189
X^1	198	196	198
X^2	198	196	197
X^3	199	199	199
X^4	199	199	199
X^5	200	200	200

X^0	199	143	143
X^1	200	171	171
X^2	200	186	186
X^3	200	200	200
X^4	200	200	200
X^5	200	200	200

X^0	198	147	151
X^1	195	171	173
X^2	198	175	178
X^3	198	198	198
X^4	198	198	198
X^5	199	199	199

X^0	198	110	113
X^1	198	128	130
X^2	198	134	136
X^3	198	198	198
X^4	198	198	198
X^5	200	200	200

X^0	199	197	199
X^1	199	199	199
X^2	197	197	197
X^3	196	196	196
X^4	198	198	198
X^5	198	198	198

X^0	198	148	150
X^1	199	159	160
X^2	199	199	199
X^3	199	199	199
X^4	199	199	199
X^5	200	200	200

X^0	199	113	116
X^1	199	159	161
X^2	198	159	161
X^3	195	193	195
X^4	198	198	198
X^5	200	200	200

X^0	198	-158	0
X^1	197	15	18
X^2	197	24	27
X^3	197	197	197
X^4	197	197	197
X^5	200	200	200

X^0	198	196	197
X^1	199	199	199
X^2	199	199	199
X^3	199	199	199
X^4	199	199	199
X^5	198	198	198

X^0	193	132	132
X^1	197	150	151
X^2	197	164	164
X^3	197	176	178
X^4	200	188	190
X^5	200	200	200

X^0	199	82	85
X^1	199	82	89
X^2	198	93	99
X^3	199	199	199
X^4	194	194	194
X^5	200	200	200

X^0	197	180	183
X^1	197	181	184
X^2	197	197	197
X^3	197	197	197
X^4	197	197	197
X^5	200	200	200

X^0	195	100	108
X^1	197	138	141
X^2	197	170	175
X^3	197	188	192
X^4	197	197	197
X^5	197	197	197

X^0	199	36	37
X^1	199	39	40
X^2	199	45	45
X^3	199	199	199
X^4	200	200	200
X^5	198	198	198

X^0	199	191	194
X^1	199	190	195
X^2	197	189	191
X^3	198	198	198
X^4	199	199	199
X^5	200	200	200

X^0	197	175	175
X^1	196	186	186
X^2	197	193	195
X^3	200	200	200
X^4	200	200	200
X^5	200	200	200

X^0	198	148	148
X^1	200	154	157
X^2	200	161	166
X^3	200	200	200
X^4	197	197	197
X^5	200	200	200

X^0	197	193	196
X^1	197	194	197
X^2	197	196	197
X^3	197	197	197
X^4	196	196	196
X^5	200	200	200

X^0	199	70	78
X^1	198	87	90
X^2	198	102	105
X^3	198	198	198
X^4	198	198	198
X^5	200	200	200

X^0	199	197	199
X^1	199	198	199
X^2	200	199	200
X^3	196	196	196
X^4	200	200	200
X^5	199	199	199

X^0	195	123	126
X^1	198	135	140
X^2	199	137	142
X^3	197	197	197
X^4	198	198	198
X^5	194	194	194

X^0	198	160	161
X^1	195	166	166
X^2	200	170	170
X^3	200	175	175
X^4	200	189	189
X^5	200	200	200

X^0	200	186	186
X^1	200	191	192
X^2	198	192	195
X^3	200	197	199
X^4	200	200	200
X^5	198	198	198

X^0	197	64	65
X^1	197	66	68
X^2	198	58	59
X^3	200	200	200
X^4	200	200	200
X^5	199	199	199

X^0	199	190	190
X^1	198	192	193
X^2	195	191	192
X^3	197	194	197
X^4	200	198	200
X^5	200	200	200

X^0	198	192	196
X^1	199	196	198
X^2	199	199	199
X^3	199	199	199
X^4	197	197	197
X^5	199	199	199

X^0	197	137	138
X^1	198	153	155
X^2	198	194	195
X^3	198	186	188
X^4	200	200	200
X^5	199	199	199

X^0	197	183	185
X^1	196	189	190
X^2	199	193	194
X^3	198	198	198
X^4	200	200	200
X^5	200	200	200

X^0	197	180	181
X^1	199	187	187
X^2	199	192	192
X^3	198	193	193
X^4	199	194	194
X^5	200	200	200

X^0	194	128	134
X^1	194	130	138
X^2	194	130	140
X^3	194	194	194
X^4	194	194	194
X^5	199	199	199

X^0	195	186	190
X^1	199	183	185
X^2	199	199	199
X^3	199	196	198
X^4	199	184	186
X^5	199	199	199

X^0	197	172	177
