	Opt.	CR	FP
X^3	3	814	280
X^4	2	772	287
X^5	2	571	313
X^6	2	523	279
X^7	2	542	279
X^8	1	295	16

X^0	4	120	54
X^1	1	113	54
X^2	1	102	48
X^3	1	87	39
X^4	3	92	44
X^5	1	79	36
X^6	0	71	44
X^7	0	58	42
X^8	0	38	11

X^0	2	408	198
X^1	4	413	203
X^2	5	411	204
X^3	2	413	208
X^4	2	358	204
X^5	2	300	159
X^6	1	276	140
X^7	1	135	67
X^8	0	216	139

X^0	2	183	92
X^1	2	181	92
X^2	11	191	101
X^3	2	180	93
X^4	3	179	92
X^5	0	176	95
X^6	0	172	94
X^7	0	91	90
X^8	0	98	80

X^0	2	55	22
X^1	2	54	23
X^2	2	54	22
X^3	2	47	24
X^4	4	45	25
X^5	2	39	18
X^6	3	26	14
X^7	1	16	13
X^8	0	26	14

X^0	3	57	21
X^1	5	59	23
X^2	1	50	20
X^3	1	45	19
X^4	1	35	14
X^5	1	28	12
X^6	7	30	16
X^7	1	30	9
X^8	1	1	1

X^0	4	40	19
X^1	3	37	17
X^2	2	40	19
X^3	1	38	19
X^4	1	42	19
X^5	2	39	23
X^6	1	35	14
X^7	1	21	15
X^8	5	35	20

X^0	1	135	60
X^1	3	137	65
X^2	1	135	62
X^3	3	137	64
X^4	3	132	63
X^5	1	129	63
X^6	1	132	63
X^7	2	74	66
X^8	1	74	62

X^0	2	194	93
X^1	2	197	93
X^2	2	195	93
X^3	2	193	93
X^4	3	194	90
X^5	2	177	84
X^6	3	167	92
X^7	6	90	85
X^8	1	131	79

X^0	3	50	21
X^1	3	39	22
X^2	3	38	24
X^3	3	35	25
X^4	3	35	25
X^5	1	31	25
X^6	3	37	25
X^7	1	29	25
X^8	0	41	21

X^0	2	180	74
X^1	4	186	81
X^2	4	182	82
X^3	2	177	75
X^4	2	166	69
X^5	1	136	70
X^6	1	112	72
X^7	3	70	63
X^8	1	106	66

X^0	4	147	71
X^1	4	147	72
X^2	4	146	72
X^3	2	144	72
X^4	2	143	70
X^5	2	139	67
X^6	2	139	67
X^7	2	73	67
X^8	1	77	66

X^0	1	29	10
X^1	4	33	12
X^2	2	30	5
X^3	1	28	11
X^4	1	26	7
X^5	1	20	9
X^6	0	24	8
X^7	0	18	6
X^8	0	18	7

X^0	3	212	103
X^1	3	212	103
X^2	3	213	99
X^3	3	213	104
X^4	2	210	102
X^5	3	190	99
X^6	3	177	95
X^7	3	126	84
X^8	0	26	0

X^0	2	43	14
X^1	2	52	20
X^2	2	46	16
X^3	0	43	16
X^4	3	47	18
X^5	1	42	17
X^6	2	43	16
X^7	0	31	14
X^8	0	44	16

X^0	3	56	25
X^1	2	59	26
X^2	1	56	24
X^3	2	55	27
X^4	1	47	21
X^5	0	45	22
X^6	1	42	23
X^7	0	23	16
X^8	1	33	19

X^0	7	928	464
X^1	4	922	458
X^2	4	917	449
X^3	4	916	453
X^4	2	915	453
X^5	4	912	452
X^6	6	915	454
X^7	5	468	458
X^8	0	462	446

X^0	4	54	41
X^1	3	53	41
X^2	3	51	37
X^3	3	48	39
X^4	5	49	41
X^5	3	47	41
X^6	2	43	38
X^7	3	36	33
X^8	0	44	38

X^0	2	82	35
X^1	4	85	38
X^2	2	65	35
X^3	2	48	35
X^4	2	48	32
X^5	2	36	34
X^6	2	38	33
X^7	2	42	32
X^8	1	55	31

X^0	4	14	4
X^1	2	13	4
X^2	2	11	4
X^3	5	13	5
X^4	1	9	1
X^5	6	14	6
X^6	0	8	1
X^7	1	4	1
X^8	0	9	0

X^0	2	65	34
X^1	2	70	34
X^2	3	68	35
X^3	3	61	33
X^4	2	52	31
X^5	1	48	29
X^6	2	51	26
X^7	3	45	30
X^8	0	47	15

X^0	2	276	136
X^1	1	278	138
X^2	1	274	134
X^3	1	266	132
X^4	1	260	129
X^5	1	215	123
X^6	1	168	80
X^7	1	127	80
X^8	0	141	83

X^0	3	125	60
X^1	3	128	59
X^2	3	128	59
X^3	3	129	61
X^4	3	120	59
X^5	3	100	49
X^6	3	55	38
X^7	4	80	44
X^8	1	29	1

X^0	1	72	52
X^1	1	69	52
X^2	1	75	55
X^3	1	63	52
X^4	1	63	45
X^5	3	62	52
X^6	3	59	53
X^7	3	56	53
X^8	1	59	49

X^0	4	513	276
X^1	1	510	273
X^2	2	510	273
X^3	4	510	273
X^4	1	473	270
X^5	1	437	236
X^6	1	437	236
X^7	1	239	234
X^8	1	266	229

X^0	4	33	10
X^1	4	31	8
X^2	4	29	9
X^3	4	27	8
X^4	4	24	6
X^5	4	25	4
X^6	4	27	8
X^7	1	20	2
X^8	2	26	4

X^0	5	144	97
X^1	1	146	95
X^2	2	146	89
X^3	2	146	94
X^4	3	147	95
X^5	4	145	93
X^6	2	134	90
X^7	2	97	86
X^8	0	97	41

X^0	1	20	11
X^1	1	21	11
X^2	3	22	11
X^3	2	21	12
